Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
ida.sachs,User,Ida Sachs, deaktiviert,Ida Sachs, , , ,Sachs,Ida,ida.sachs@mail.xyz, 
ingeborg.reiff,User,Ingeborg Reiff, deaktiviert,Ingeborg Reiff, , , ,Reiff,Ingeborg,keineMailAddy, 
jakob.rodriquez,User,Rodriquez Jakob, Oberstufe extern,Rodriquez Jakob, , , ,Rodriquez,Jakob,jakob.rodriquez@mail.xyz, 
jamie.schanz,User,Jamie Schanz, Sekundar extern,Jamie Schanz, , , ,Schanz,Jamie,j.schanz@mail.xyz, 
janine.reinhard,User,Reinhard Janine, Handelsmatur,Reinhard Janine, , , ,Reinhard,Janine,janine.reinhard@mail.xyz, 
janne.ries,User,Janne Ries, deaktiviert,Janne Ries, , , ,Ries,Janne,keineMailAddy, 
jannis.preuss,User,Preuss Jannis, Oberstufe extern,Preuss Jannis, , , ,Preuss,Jannis,jannis.preuss@mail.xyz, 
jeremy.raab,User,Raab Jeremy, Oberstufe extern,Raab Jeremy, , , ,Raab,Jeremy,keineMailAddy, 
jil.sch,User,Jil Schwan, Oberstufe - Matur,Jil Schwan, , , ,Schwan,Jil,jil.schwan@mail.xyz, 
joe.reu,User,Joel Reutter, Oberstufe - Matur,Joel Reutter, , , ,Reutter,Joel,joel.reutter@mail.xyz, 
joh.pri,User,John Price, Oberstufe - Matur,John Price, , , ,Price,John,keineMailAddy, 
jonah.schuessler,User,Jonah Schuessler, deaktiviert,Jonah Schuessler, , , ,Schuessler,Jonah,keineMailAddy, 
kaethe.ranft,User,Ranft Kaethe, Handelsmatur,Ranft Kaethe, , , ,Ranft,Kaethe,k.ranft@mail.xyz, 
karina.penner,User,Karina Penner, Sekundar extern,Karina Penner, , , ,Penner,Karina,karina.penner@mail.xyz, 
kathrin.phelps,User,Kathrin Phelps, deaktiviert,Kathrin Phelps, , , ,Phelps,Kathrin,keineMailAddy, 
kaya.rhodes,User,Kaya Rhodes, deaktiviert,Kaya Rhodes, , , ,Rhodes,Kaya,kaya.rhodes@mail.xyz, 
klara.petry,User,Klara Petry, deaktiviert,Klara Petry, , , ,Petry,Klara,keineMailAddy, 
klemens.rentsch,User,Rentsch Klemens, Oberstufe extern,Rentsch Klemens, , , ,Rentsch,Klemens,keineMailAddy, 
kristin.seibel,User,Seibel Kristin, Oberstufe extern,Seibel Kristin, , , ,Seibel,Kristin,k.seibel@mail.xyz, 
larissa.sager,User,Sager Larissa, Handelsmatur,Sager Larissa, , , ,Sager,Larissa,larissa.sager@mail.xyz, 
leon.schaub,User,Schaub Leon, Oberstufe extern,Schaub Leon, , , ,Schaub,Leon,keineMailAddy, 
liah.peters,User,Peters Liah, Oberstufe extern,Peters Liah, , , ,Peters,Liah,l.peters@mail.xyz, 
lilly.pfaffer,User,Pfaffer Lilly, Oberstufe extern,Pfaffer Lilly, , , ,Pfaffer,Lilly,lilly.pfeffer@mail.xyz, 
lina.schwabe,User,Lina Schwabe, deaktiviert,Lina Schwabe, , , ,Schwabe,Lina,lina.schwabe@mail.xyz, 
luka.ramirez,User,Luka Ramirez, deaktiviert,Luka Ramirez, , , ,Ramirez,Luka,keineMailAddy, 
maik.rode,User,Rode Maik, Handelsmatur,Rode Maik, , , ,Rode,Maik,m.rode@mail.xyz, 
maike.salazar,User,Salazar Maike, Oberstufe extern,Salazar Maike, , , ,Salazar,Maike,maike.salazar@mail.xyz, 
malte.reichelt,User,Reichelt Malte, Handelsmatur,Reichelt Malte, , , ,Reichelt,Malte,malte.reichelt@mail.xyz, 
mandy.reinhold,User,Mandy Reinhold, Sekundar extern,Mandy Reinhold, , , ,Reinhold,Mandy,mandy.reinhold@mail.xyz, 
marcus.pfister,User,Pfister Marcus, Handelsmatur,Pfister Marcus, , , ,Pfister,Marcus,marcus.pfister@mail.xyz, 
maria.reuther,User,Maria Reuther, deaktiviert,Maria Reuther, , , ,Reuther,Maria,keineMailAddy, 
markus.schaffer,User,Schaffer Markus, Handelsmatur,Schaffer Markus, , , ,Schaffer,Markus,keineMailAddy, 
marlon.roesch,User,Roesch Marlon, Handelsmatur,Roesch Marlon, , , ,Roesch,Marlon,m.roesch@mail.xyz, 
matti.schanz,User,Matti Schanz, Sekundar extern,Matti Schanz, , , ,Schanz,Matti,keineMailAddy, 
maxim.schade,User,Maxim Schade, Sekundar extern,Maxim Schade, , , ,Schade,Maxim,keineMailAddy, 
maxim.schwanke,User,Maxim Schwanke, deaktiviert,Maxim Schwanke, , , ,Schwanke,Maxim,keineMailAddy, 
melvin.pfeffer,User,Pfeffer Melvin, Handelsmatur,Pfeffer Melvin, , , ,Pfeffer,Melvin,melvin.pfeffer@mail.xyz, 
merle.schell,User,Merle Schell, Sekundar extern,Merle Schell, , , ,Schell,Merle,keineMailAddy, 
moh.sal,User,Mohammed Salewski, Oberstufe - Matur,Mohammed Salewski, , , ,Salewski,Mohammed,mohammed.salewski@mail.xyz, 
nadine.rauch,User,Nadine Rauch, deaktiviert,Nadine Rauch, , , ,Rauch,Nadine,n.rauch@mail.xyz, 
niclas.reuss,User,Niclas Reuss, deaktiviert,Niclas Reuss, , , ,Reuss,Niclas,keineMailAddy, 
niclas.schuster,User,Niclas Schuster, deaktiviert,Niclas Schuster, , , ,Schuster,Niclas,niclas.schuster@mail.xyz, 
nie.rei,User,Niels Reinhart, Oberstufe - Matur,Niels Reinhart, , , ,Reinhart,Niels,n.reinhart@mail.xyz, 
nik.reinicke,User,Reinicke Nik, Oberstufe extern,Reinicke Nik, , , ,Reinicke,Nik,n.reinicke@mail.xyz, 
peter.raeder,User,Raeder Peter, Oberstufe extern,Raeder Peter, , , ,Raeder,Peter,keineMailAddy, 
phil.reed,User,Reed Phil, Handelsmatur,Reed Phil, , , ,Reed,Phil,keineMailAddy, 
phillipp.sandra,User,Phillipp Sandra, Sekundar extern,Phillipp Sandra, , , ,Sandra,Phillipp,keineMailAddy, 
raphael.rahn,User,Raphael Rahn, Sekundar extern,Raphael Rahn, , , ,Rahn,Raphael,keineMailAddy, 
rasmus.schubert,User,Rasmus Schubert, Sekundar extern,Rasmus Schubert, , , ,Schubert,Rasmus,rasmus.schubert@mail.xyz, 
rita.rother,User,Rother Rita, Handelsmatur,Rother Rita, , , ,Rother,Rita,r.rother@mail.xyz, 
rom.sch,User,Romy Schrader, Oberstufe - Matur,Romy Schrader, , , ,Schrader,Romy,romy.schrader@mail.xyz, 
ruediger.schuetz,User,Schuetz Ruediger, Oberstufe extern,Schuetz Ruediger, , , ,Schuetz,Ruediger,r.schuetz@mail.xyz, 
sam.sal,User,Samuel Salewski, Oberstufe - Matur,Samuel Salewski, , , ,Salewski,Samuel,samuel.salewski@mail.xyz, 
sig.sch,User,Sigrid Schober, Oberstufe - Matur,Sigrid Schober, , , ,Schober,Sigrid,keineMailAddy, 
sinah.schaumann,User,Sinah Schaumann, Sekundar extern,Sinah Schaumann, , , ,Schaumann,Sinah,keineMailAddy, 
sophie.schwinn,User,Schwinn Sophie, Oberstufe extern,Schwinn Sophie, , , ,Schwinn,Sophie,sophie.schwinn@mail.xyz, 
stina.reese,User,Stina Reese, Lehrer Gym,Stina Reese, , , ,Reese,Stina,keineMailAddy, 
sylvia.schwabe,User,Sylvia Schwabe, deaktiviert,Sylvia Schwabe, , , ,Schwabe,Sylvia,sylvia.schwabe@mail.xyz, 
teresa.rhein,User,Teresa Rhein, Sekundar extern,Teresa Rhein, , , ,Rhein,Teresa,keineMailAddy, 
tom.radermacher,User,Tom Radermacher, deaktiviert,Tom Radermacher, , , ,Radermacher,Tom,keineMailAddy, 
tristan.person,User,Person Tristan, Oberstufe extern,Person Tristan, , , ,Person,Tristan,keineMailAddy, 
uwe.schrader,User,Uwe Schrader, deaktiviert,Uwe Schrader, , , ,Schrader,Uwe,uwe.schrader@mail.xyz, 
vincent.schaf,User,Schaf Vincent, Oberstufe extern,Schaf Vincent, , , ,Schaf,Vincent,v.schaf@mail.xyz, 
