Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
erika.reiter,User,Reiter Erika, Oberstufe extern,Reiter Erika, , , ,Reiter,Erika,keineMailAddy, 
erna.rank,User,Erna Rank, deaktiviert,Erna Rank, , , ,Rank,Erna,e.rank@mail.xyz, 
fabian.reimer,User,Reimer Fabian, Oberstufe extern,Reimer Fabian, , , ,Reimer,Fabian,fabian.reimer@mail.xyz, 
fabian.robbins,User,Fabian Robbins, Sekundar extern,Fabian Robbins, , , ,Robbins,Fabian,fabian.robbins@mail.xyz, 
fel.rem,User,Felicitas Remondis, Oberstufe - Matur,Felicitas Remondis, , , ,Remondis,Felicitas,f.remondis@mail.xyz, 
fenja.reinhardt,User,Fenja Reinhardt, Sekundar extern,Fenja Reinhardt, , , ,Reinhardt,Fenja,f.reinhardt@mail.xyz, 
fenja.schnabel,User,Schnabel Fenja, Oberstufe extern,Schnabel Fenja, , , ,Schnabel,Fenja,f.schnabel@mail.xyz, 
ferdinand.seger,User,Seger Ferdinand, Oberstufe extern,Seger Ferdinand, , , ,Seger,Ferdinand,keineMailAddy, 
fiona.raeder,User,Raeder Fiona, Handelsmatur,Raeder Fiona, , , ,Raeder,Fiona,keineMailAddy, 
frank.rauch,User,Frank Rauch, deaktiviert,Frank Rauch, , , ,Rauch,Frank,f.rauch@mail.xyz, 
franz.raschke,User,Raschke Franz, Oberstufe extern,Raschke Franz, , , ,Raschke,Franz,keineMailAddy, 
frederik.reuther,User,Frederik Reuther, deaktiviert,Frederik Reuther, , , ,Reuther,Frederik,f.reuther@mail.xyz, 
frida.saunders,User,Frida Saunders, deaktiviert,Frida Saunders, , , ,Saunders,Frida,frida.saunders@mail.xyz, 
frieda.rose,User,Frieda Rose, Sekundar extern,Frieda Rose, , , ,Rose,Frieda,keineMailAddy, 
friederike.rodriguez,User,Rodriguez Friederike, Oberstufe extern,Rodriguez Friederike, , , ,Rodriguez,Friederike,f.rodriguez@mail.xyz, 
fynn.rosenberger,User,Rosenberger Fynn, Oberstufe extern,Rosenberger Fynn, , , ,Rosenberger,Fynn,fynn.rosenberger@mail.xyz, 
fynn.ryan,User,Fynn Ryan, Sekundar extern,Fynn Ryan, , , ,Ryan,Fynn,keineMailAddy, 
gabriele.rodriquez,User,Rodriquez Gabriele, Handelsmatur,Rodriquez Gabriele, , , ,Rodriquez,Gabriele,g.rodriquez@mail.xyz, 
gerda.pilz,User,Pilz Gerda, Oberstufe extern,Pilz Gerda, , , ,Pilz,Gerda,gerda.pilz@mail.xyz, 
gerhardt.seeber,User,Gerhardt Seeber, deaktiviert,Gerhardt Seeber, , , ,Seeber,Gerhardt,g.seeber@mail.xyz, 
gert.reissmann,User,Gert Reissmann, deaktiviert,Gert Reissmann, , , ,Reissmann,Gert,gert.reissmann@mail.xyz, 
gert.retzlaff,User,Retzlaff Gert, Oberstufe extern,Retzlaff Gert, , , ,Retzlaff,Gert,gert.retzlaff@mail.xyz, 
giulia.sattler,User,Giulia Sattler, deaktiviert,Giulia Sattler, , , ,Sattler,Giulia,g.sattler@mail.xyz, 
greta.pfeilmacher,User,Pfeilmacher Greta, Oberstufe extern,Pfeilmacher Greta, , , ,Pfeilmacher,Greta,keineMailAddy, 
guenter.schaub,User,Guenter Schaub, Sekundar extern,Guenter Schaub, , , ,Schaub,Guenter,guenter.schaub@mail.xyz, 
guenther.reisser,User,Reisser Guenther, Oberstufe extern,Reisser Guenther, , , ,Reisser,Guenther,guenther.reisser@mail.xyz, 
hanna.rowe,User,Hanna Rowe, deaktiviert,Hanna Rowe, , , ,Rowe,Hanna,hanna.rowe@mail.xyz, 
hannah.reinhart,User,Hannah Reinhart, Sekundar extern,Hannah Reinhart, , , ,Reinhart,Hannah,h.reinhart@mail.xyz, 
hannah.reischl,User,Reischl Hannah, Oberstufe extern,Reischl Hannah, , , ,Reischl,Hannah,hannah.reischl@mail.xyz, 
hannelore.rogers,User,Rogers Hannelore, Oberstufe extern,Rogers Hannelore, , , ,Rogers,Hannelore,hannelore.rogers@mail.xyz, 
hans.sailer,User,Hans Sailer, deaktiviert,Hans Sailer, , , ,Sailer,Hans,h.sailer@mail.xyz, 
harald.schatz,User,Harald Schatz, deaktiviert,Harald Schatz, , , ,Schatz,Harald,harald.schatz@mail.xyz, 
heike.pratt,User,Pratt Heike, Handelsmatur,Pratt Heike, , , ,Pratt,Heike,h.pratt@mail.xyz, 
heinrich.runge,User,Runge Heinrich, Oberstufe extern,Runge Heinrich, , , ,Runge,Heinrich,keineMailAddy, 
hel.rad,User,Helena Radermacher, Oberstufe - Matur,Helena Radermacher, , , ,Radermacher,Helena,helena.radermacher@mail.xyz, 
hel.sch,User,Helena Schroeter, Oberstufe - Matur,Helena Schroeter, , , ,Schroeter,Helena,helena.schroeter@mail.xyz, 
helene.schwegler,User,Helene Schwegler, deaktiviert,Helene Schwegler, , , ,Schwegler,Helene,keineMailAddy, 
helmut.scheer,User,Scheer Helmut, Handelsmatur,Scheer Helmut, , , ,Scheer,Helmut,h.scheer@mail.xyz, 
hen.sau,User,Henrik Sautter, Oberstufe - Matur,Henrik Sautter, , , ,Sautter,Henrik,h.sautter@mail.xyz, 
henri.petersen,User,Henri Petersen, deaktiviert,Henri Petersen, , , ,Petersen,Henri,h.petersen@mail.xyz, 
henriette.schweikert,User,Henriette Schweikert, deaktiviert,Henriette Schweikert, , , ,Schweikert,Henriette,h.schweikert@mail.xyz, 
henrik.reitmeier,User,Reitmeier Henrik, Oberstufe extern,Reitmeier Henrik, , , ,Reitmeier,Henrik,keineMailAddy, 
her.phi,User,Herbert Philipp, Oberstufe - Matur,Herbert Philipp, , , ,Philipp,Herbert,keineMailAddy, 
her.sch,User,Hertha Schaffer, Oberstufe - Matur,Hertha Schaffer, , , ,Schaffer,Hertha,hertha.schaffer@mail.xyz, 
her.see,User,Herbert Seemann, Oberstufe - Matur,Herbert Seemann, , , ,Seemann,Herbert,keineMailAddy, 
hertha.putz,User,Hertha Putz, deaktiviert,Hertha Putz, , , ,Putz,Hertha,h.putz@mail.xyz, 
hertha.reinartz,User,Hertha Reinartz, Sekundar extern,Hertha Reinartz, , , ,Reinartz,Hertha,hertha.reinartz@mail.xyz, 
hertha.schardt,User,Hertha Schardt, deaktiviert,Hertha Schardt, , , ,Schardt,Hertha,hertha.schardt@mail.xyz, 
hertha.schnitzler,User,Schnitzler Hertha, Handelsmatur,Schnitzler Hertha, , , ,Schnitzler,Hertha,hertha.schnitzler@mail.xyz, 
hol.sei,User,Holger Seibel, Oberstufe - Matur,Holger Seibel, , , ,Seibel,Holger,holger.seibel@mail.xyz, 
horst.salazar,User,Salazar Horst, Oberstufe extern,Salazar Horst, , , ,Salazar,Horst,h.salazar@mail.xyz, 
ian.rot,User,Ian Rothe, Oberstufe - Matur,Ian Rothe, , , ,Rothe,Ian,ian.rothe@mail.xyz, 
ida.puetz,User,Ida Puetz, deaktiviert,Ida Puetz, , , ,Puetz,Ida,ida.puetz@mail.xyz, 
inga.rogers,User,Inga Rogers, deaktiviert,Inga Rogers, , , ,Rogers,Inga,i.rogers@mail.xyz, 
inga.saupe,User,Inga Saupe, Sekundar extern,Inga Saupe, , , ,Saupe,Inga,i.saupe@mail.xyz, 
inga.schreiber,User,Schreiber Inga, Oberstufe extern,Schreiber Inga, , , ,Schreiber,Inga,i.schreiber@mail.xyz, 
ingo.roessler,User,Ingo Roessler, Sekundar extern,Ingo Roessler, , , ,Roessler,Ingo,i.roessler@mail.xyz, 
ingrid.schramm,User,Schramm Ingrid, Handelsmatur,Schramm Ingrid, , , ,Schramm,Ingrid,i.schramm@mail.xyz, 
irmgart.reineke,User,Irmgart Reineke, deaktiviert,Irmgart Reineke, , , ,Reineke,Irmgart,irmgart.reineke@mail.xyz, 
isa.pfi,User,Isabelle Pfister, Oberstufe - Matur,Isabelle Pfister, , , ,Pfister,Isabelle,i.pfister@mail.xyz, 
isabell.rettig,User,Isabell Rettig, deaktiviert,Isabell Rettig, , , ,Rettig,Isabell,isabell.rettig@mail.xyz, 
isabell.schott,User,Isabell Schott, Sekundar extern,Isabell Schott, , , ,Schott,Isabell,isabell.schott@mail.xyz, 
ivonne.pope,User,Pope Ivonne, Oberstufe extern,Pope Ivonne, , , ,Pope,Ivonne,i.pope@mail.xyz, 
ivonne.rehm,User,Rehm Ivonne, Handelsmatur,Rehm Ivonne, , , ,Rehm,Ivonne,i.rehm@mail.xyz, 
jacob.pusch,User,Pusch Jacob, Handelsmatur,Pusch Jacob, , , ,Pusch,Jacob,jacob.pusch@mail.xyz, 
jakob.schwab,User,Schwab Jakob, Handelsmatur,Schwab Jakob, , , ,Schwab,Jakob,keineMailAddy, 
jamie.ranft,User,Ranft Jamie, Oberstufe extern,Ranft Jamie, , , ,Ranft,Jamie,jamie.ranft@mail.xyz, 
jamie.sander,User,Jamie Sander, Sekundar extern,Jamie Sander, , , ,Sander,Jamie,j.sander@mail.xyz, 
jamie.schaal,User,Schaal Jamie, Oberstufe extern,Schaal Jamie, , , ,Schaal,Jamie,j.schaal@mail.xyz, 
jamie.schmied,User,Schmied Jamie, Oberstufe extern,Schmied Jamie, , , ,Schmied,Jamie,j.schmied@mail.xyz, 
janina.roessler,User,Roessler Janina, Handelsmatur,Roessler Janina, , , ,Roessler,Janina,keineMailAddy, 
janine.rodriguez,User,Janine Rodriguez, Sekundar extern,Janine Rodriguez, , , ,Rodriguez,Janine,j.rodriguez@mail.xyz, 
janne.peschke,User,Janne Peschke, deaktiviert,Janne Peschke, , , ,Peschke,Janne,j.peschke@mail.xyz, 
janne.probst,User,Janne Probst, Sekundar extern,Janne Probst, , , ,Probst,Janne,j.probst@mail.xyz, 
jannes.ruppert,User,Jannes Ruppert, deaktiviert,Jannes Ruppert, , , ,Ruppert,Jannes,j.ruppert@mail.xyz, 
jannik.pesch,User,Pesch Jannik, Oberstufe extern,Pesch Jannik, , , ,Pesch,Jannik,j.pesch@mail.xyz, 
jaqueline.schmuck,User,Schmuck Jaqueline, Oberstufe extern,Schmuck Jaqueline, , , ,Schmuck,Jaqueline,jaqueline.schmuck@mail.xyz, 
jasmin.saal,User,Jasmin Saal, deaktiviert,Jasmin Saal, , , ,Saal,Jasmin,j.saal@mail.xyz, 
jean.schmitz,User,Jean Schmitz, Sekundar extern,Jean Schmitz, , , ,Schmitz,Jean,j.schmitz@mail.xyz, 
jennifer.schwoerer,User,Schwoerer Jennifer, Handelsmatur,Schwoerer Jennifer, , , ,Schwoerer,Jennifer,jennifer.schwoerer@mail.xyz, 
jenny.raith,User,Raith Jenny, Oberstufe extern,Raith Jenny, , , ,Raith,Jenny,jenny.raith@mail.xyz, 
jenny.sauermann,User,Jenny Sauermann, Sekundar extern,Jenny Sauermann, , , ,Sauermann,Jenny,jenny.sauermann@mail.xyz, 
jenny.schwerdtfeger,User,Jenny Schwerdtfeger, deaktiviert,Jenny Schwerdtfeger, , , ,Schwerdtfeger,Jenny,keineMailAddy, 
jeremie.schoen,User,Schoen Jeremie, Oberstufe extern,Schoen Jeremie, , , ,Schoen,Jeremie,jeremie.schoen@mail.xyz, 
jeremy.schueler,User,Jeremy Schueler, deaktiviert,Jeremy Schueler, , , ,Schueler,Jeremy,jeremy.schueler@mail.xyz, 
jeremy.schweikert,User,Schweikert Jeremy, Oberstufe extern,Schweikert Jeremy, , , ,Schweikert,Jeremy,keineMailAddy, 
jessica.renate,User,Jessica Renate, deaktiviert,Jessica Renate, , , ,Renate,Jessica,j.renate@mail.xyz, 
jette.price,User,Jette Price, deaktiviert,Jette Price, , , ,Price,Jette,jette.price@mail.xyz, 
joachim.schaaf,User,Schaaf Joachim, Oberstufe extern,Schaaf Joachim, , , ,Schaaf,Joachim,j.schaaf@mail.xyz, 
joachim.schick,User,Joachim Schick, Sekundar extern,Joachim Schick, , , ,Schick,Joachim,j.schick@mail.xyz, 
joelle.putz,User,Joelle Putz, deaktiviert,Joelle Putz, , , ,Putz,Joelle,j.putz@mail.xyz, 
joerg.schweizer,User,Joerg Schweizer, Sekundar extern,Joerg Schweizer, , , ,Schweizer,Joerg,joerg.schweizer@mail.xyz, 
johann.pena,User,Johann Pena, deaktiviert,Johann Pena, , , ,Pena,Johann,j.pena@mail.xyz, 
johannes.schaeffer,User,Johannes Schaeffer, deaktiviert,Johannes Schaeffer, , , ,Schaeffer,Johannes,j.schaeffer@mail.xyz, 
jonah.schueler,User,Jonah Schueler, Sekundar extern,Jonah Schueler, , , ,Schueler,Jonah,j.schueler@mail.xyz, 
jud.sch,User,Judith Scheer, Oberstufe - Matur,Judith Scheer, , , ,Scheer,Judith,keineMailAddy, 
jue.rei,User,Juergen Reinders, Oberstufe - Matur,Juergen Reinders, , , ,Reinders,Juergen,juergen.reinders@mail.xyz, 
julian.seel,User,Seel Julian, Oberstufe extern,Seel Julian, , , ,Seel,Julian,j.seel@mail.xyz, 
julie.reichert,User,Reichert Julie, Handelsmatur,Reichert Julie, , , ,Reichert,Julie,j.reichert@mail.xyz, 
juri.reiff,User,Juri Reiff, deaktiviert,Juri Reiff, , , ,Reiff,Juri,juri.reiff@mail.xyz, 
justin.reinhard,User,Justin Reinhard, deaktiviert,Justin Reinhard, , , ,Reinhard,Justin,j.reinhard@mail.xyz, 
justin.sacher,User,Justin Sacher, Sekundar extern,Justin Sacher, , , ,Sacher,Justin,keineMailAddy, 
jutta.schaefer,User,Schaefer Jutta, Oberstufe extern,Schaefer Jutta, , , ,Schaefer,Jutta,jutta.schaefer@mail.xyz, 
kaete.schoenfeld,User,Kaete Schoenfeld, deaktiviert,Kaete Schoenfeld, , , ,Schoenfeld,Kaete,kaete.schoenfeld@mail.xyz, 
kaethe.roessler,User,Roessler Kaethe, Handelsmatur,Roessler Kaethe, , , ,Roessler,Kaethe,kaethe.roessler@mail.xyz, 
kaj.sau,User,Kaja Sauermann, Oberstufe - Matur,Kaja Sauermann, , , ,Sauermann,Kaja,keineMailAddy, 
kaja.ritter,User,Kaja Ritter, deaktiviert,Kaja Ritter, , , ,Ritter,Kaja,keineMailAddy, 
karina.resch,User,Resch Karina, Handelsmatur,Resch Karina, , , ,Resch,Karina,keineMailAddy, 
karl.roesner,User,Karl Roesner, Sekundar extern,Karl Roesner, , , ,Roesner,Karl,karl.roesner@mail.xyz, 
karla.salewski,User,Karla Salewski, Sekundar extern,Karla Salewski, , , ,Salewski,Karla,k.salewski@mail.xyz, 
karlotta.schreiner,User,Schreiner Karlotta, Oberstufe extern,Schreiner Karlotta, , , ,Schreiner,Karlotta,k.schreiner@mail.xyz, 
karsten.schoen,User,Schoen Karsten, Oberstufe extern,Schoen Karsten, , , ,Schoen,Karsten,keineMailAddy, 
katharina.schuster,User,Schuster Katharina, Oberstufe extern,Schuster Katharina, , , ,Schuster,Katharina,katharina.schuster@mail.xyz, 
katja.reinicke,User,Katja Reinicke, deaktiviert,Katja Reinicke, , , ,Reinicke,Katja,keineMailAddy, 
kay.schuhmacher,User,Kay Schuhmacher, deaktiviert,Kay Schuhmacher, , , ,Schuhmacher,Kay,keineMailAddy, 
kaya.sandra,User,Sandra Kaya, Handelsmatur,Sandra Kaya, , , ,Sandra,Kaya,keineMailAddy, 
keno.rudolph,User,Keno Rudolph, deaktiviert,Keno Rudolph, , , ,Rudolph,Keno,k.rudolph@mail.xyz, 
kia.run,User,Kian Runge, Oberstufe - Matur,Kian Runge, , , ,Runge,Kian,k.runge@mail.xyz, 
kian.potter,User,Kian Potter, deaktiviert,Kian Potter, , , ,Potter,Kian,kian.potter@mail.xyz, 
kimberly.schaal,User,Schaal Kimberly, Oberstufe extern,Schaal Kimberly, , , ,Schaal,Kimberly,kimberly.schaal@mail.xyz, 
kira.saalmann,User,Saalmann Kira, Handelsmatur,Saalmann Kira, , , ,Saalmann,Kira,kira.saalmann@mail.xyz, 
kirsten.schacht,User,Kirsten Schacht, deaktiviert,Kirsten Schacht, , , ,Schacht,Kirsten,k.schacht@mail.xyz, 
kjell.pierce,User,Pierce Kjell, Handelsmatur,Pierce Kjell, , , ,Pierce,Kjell,kjell.pierce@mail.xyz, 
kjell.scheller,User,Kjell Scheller, Sekundar extern,Kjell Scheller, , , ,Scheller,Kjell,keineMailAddy, 
klaas.schaumann,User,Klaas Schaumann, Sekundar extern,Klaas Schaumann, , , ,Schaumann,Klaas,keineMailAddy, 
klara.petzold,User,Petzold Klara, Oberstufe extern,Petzold Klara, , , ,Petzold,Klara,klara.petzold@mail.xyz, 
klara.rasch,User,Rasch Klara, Oberstufe extern,Rasch Klara, , , ,Rasch,Klara,k.rasch@mail.xyz, 
klaus.riedl,User,Klaus Riedl, Sekundar extern,Klaus Riedl, , , ,Riedl,Klaus,keineMailAddy, 
klemens.schmit,User,Schmit Klemens, Handelsmatur,Schmit Klemens, , , ,Schmit,Klemens,klemens.schmit@mail.xyz, 
kri.qua,User,Kristian Quandt, Oberstufe - Matur,Kristian Quandt, , , ,Quandt,Kristian,kristian.quandt@mail.xyz, 
