Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
felicitas.bross,User,Felicitas Bross, Sekundar,Felicitas Bross, , , ,Bross,Felicitas,f.bross@mail.xyz, 
finja.berry,User,Finja Berry, Sekundar,Finja Berry, , , ,Berry,Finja,finja.berry@mail.xyz, 
finn.brady,User,Finn Brady, Sekundar,Finn Brady, , , ,Brady,Finn,f.brady@mail.xyz, 
fiona.bade,User,Fiona Bade, Sekundar,Fiona Bade, , , ,Bade,Fiona,f.bade@mail.xyz, 
fiona.cao,User,Fiona Cao, Lehrer Sekundar,Fiona Cao, , , ,Cao,Fiona,f.cao@mail.xyz, 
frank.coleman,User,Frank Coleman, Sekundar,Frank Coleman, , , ,Coleman,Frank,frank.coleman@mail.xyz, 
franz.bartel,User,Franz Bartel, Sekundar,Franz Bartel, , , ,Bartel,Franz,franz.bartel@mail.xyz, 
franz.bruckner,User,F. B., Verwaltung,F. B., , , ,Bruckner,Franz,franz.bruckner@mail.xyz, 
franziska.ahrendt,User,Franziska Ahrendt, Sekundar,Franziska Ahrendt, , , ,Ahrendt,Franziska,keineMailAddy, 
frederic.dachser,User,Frederic Dachser, Lehrer Gym,Frederic Dachser, , , ,Dachser,Frederic,f.dachser@mail.xyz, 
friederike.carr,User,Friederike Carr, Lehrer Sekundar,Friederike Carr, , , ,Carr,Friederike,friederike.carr@mail.xyz, 
friederike.degner,User,Friederike Degner, deaktiviert,Friederike Degner, , , ,Degner,Friederike,friederike.degner@mail.xyz, 
friedrich.bauer,User,Friedrich Bauer, Sekundar,Friedrich Bauer, , , ,Bauer,Friedrich,friedrich.bauer@mail.xyz, 
gabriele.cooper,User,Gabriele Cooper, Lehrer Gym,Gabriele Cooper, , , ,Cooper,Gabriele,gabriele.cooper@mail.xyz, 
gerd.bek,User,Gerd Bek, Sekundar,Gerd Bek, , , ,Bek,Gerd,gerd.bek@mail.xyz, 
gerd.cole,User,Gerd Cole, Sekundar,Gerd Cole, , , ,Cole,Gerd,g.cole@mail.xyz, 
gerda.chandler,User,Gerda Chandler, Sekundar,Gerda Chandler, , , ,Chandler,Gerda,gerda.chandler@mail.xyz, 
gerhardt.baldauf,User,Gerhardt Baldauf, Sekundar,Gerhardt Baldauf, , , ,Baldauf,Gerhardt,gerhardt.baldauf@mail.xyz, 
gert.brenner,User,Gert Brenner, Sekundar,Gert Brenner, , , ,Brenner,Gert,gert.brenner@mail.xyz, 
gina.alber,User,Gina Alber, Sekundar,Gina Alber, , , ,Alber,Gina,keineMailAddy, 
gudrun.alt,User,Gudrun Alt, Sekundar,Gudrun Alt, , , ,Alt,Gudrun,keineMailAddy, 
gudrun.atkins,User,Gudrun Atkins, Sekundar,Gudrun Atkins, , , ,Atkins,Gudrun,gudrun.atkins@mail.xyz, 
hannah.backes,User,Hannah Backes, Sekundar,Hannah Backes, , , ,Backes,Hannah,h.backes@mail.xyz, 
hannah.baumgaertner,User,Hannah Baumgaertner, Sekundar,Hannah Baumgaertner, , , ,Baumgaertner,Hannah,hannah.baumgaertner@mail.xyz, 
hannah.cohen,User,Hannah Cohen, Sekundar,Hannah Cohen, , , ,Cohen,Hannah,h.cohen@mail.xyz, 
harald.arge,User,Harald Arge, Sekundar,Harald Arge, , , ,Arge,Harald,keineMailAddy, 
heidi.bender,User,Heidi Bender, Sekundar,Heidi Bender, , , ,Bender,Heidi,h.bender@mail.xyz, 
heike.bischoff,User,H. B., Verwaltung,H. B., , , ,Bischoff,Heike,h.bischoff@mail.xyz, 
heike.clark,User,Heike Clark, Sekundar,Heike Clark, , , ,Clark,Heike,h.clark@mail.xyz, 
heiko.breitner,User,Heiko Breitner, Sekundar,Heiko Breitner, , , ,Breitner,Heiko,keineMailAddy, 
heinz.boes,User,Heinz Boes, Sekundar,Heinz Boes, , , ,Boes,Heinz,h.boes@mail.xyz, 
helen.albers,User,Helen Albers, Sekundar,Helen Albers, , , ,Albers,Helen,helen.albers@mail.xyz, 
helen.dehmel,User,Helen Dehmel, Sekundar,Helen Dehmel, , , ,Dehmel,Helen,helen.dehmel@mail.xyz, 
helena.bahr,User,Helena Bahr, Sekundar,Helena Bahr, , , ,Bahr,Helena,helena.bahr@mail.xyz, 
helena.binder,User,Helena Binder, Sekundar,Helena Binder, , , ,Binder,Helena,helena.binder@mail.xyz, 
helga.adams,User,Helga Adams, Sekundar,Helga Adams, , , ,Adams,Helga,helga.adams@mail.xyz, 
hendrik.becker,User,Hendrik Becker, Sekundar,Hendrik Becker, , , ,Becker,Hendrik,hendrik.becker@mail.xyz, 
henrik.andrews,User,Henrik Andrews, Sekundar,Henrik Andrews, , , ,Andrews,Henrik,keineMailAddy, 
herbert.baechle,User,Herbert Baechle, Sekundar,Herbert Baechle, , , ,Baechle,Herbert,herbert.baechle@mail.xyz, 
herta.curtis,User,Herta Curtis, Lehrer Gym,Herta Curtis, , , ,Curtis,Herta,keineMailAddy, 
hildegard.beier,User,Hildegard Beier, Sekundar,Hildegard Beier, , , ,Beier,Hildegard,hildegard.beier@mail.xyz, 
holger.blake,User,Holger Blake, Sekundar,Holger Blake, , , ,Blake,Holger,keineMailAddy, 
horst.bischof,User,Horst Bischof, Sekundar,Horst Bischof, , , ,Bischof,Horst,horst.bischof@mail.xyz, 
horst.dehmel,User,Horst Dehmel, Sekundar,Horst Dehmel, , , ,Dehmel,Horst,h.dehmel@mail.xyz, 
ian.aydin,User,Ian Aydin, Sekundar,Ian Aydin, , , ,Aydin,Ian,ian.aydin@mail.xyz, 
ian.brandenburger,User,Ian Brandenburger, Sekundar,Ian Brandenburger, , , ,Brandenburger,Ian,i.brandenburger@mail.xyz, 
ian.brutto,User,Ian Brutto, Lehrer Sekundar,Ian Brutto, , , ,Brutto,Ian,ian.brutto@mail.xyz, 
ida.axmann,User,Ida Axmann, Sekundar,Ida Axmann, , , ,Axmann,Ida,ida.axmann@mail.xyz, 
ida.brock,User,Ida Brock, Sekundar,Ida Brock, , , ,Brock,Ida,ida.brock@mail.xyz, 
ida.chandler,User,Ida Chandler, Sekundar,Ida Chandler, , , ,Chandler,Ida,keineMailAddy, 
ilse.boschdienst,User,Ilse BoschDienst, Sekundar,Ilse BoschDienst, , , ,BoschDienst,Ilse,keineMailAddy, 
ina.ahrend,User,Ina Ahrend, Sekundar,Ina Ahrend, , , ,Ahrend,Ina,i.ahrend@mail.xyz, 
inge.carlson,User,Inge Carlson, Lehrer Sekundar,Inge Carlson, , , ,Carlson,Inge,i.carlson@mail.xyz, 
ingeborg.clark,User,Ingeborg Clark, Sekundar,Ingeborg Clark, , , ,Clark,Ingeborg,i.clark@mail.xyz, 
ingo.boesl,User,Ingo Boesl, Sekundar,Ingo Boesl, , , ,Boesl,Ingo,i.boesl@mail.xyz, 
ingrid.bradley,User,Ingrid Bradley, Sekundar,Ingrid Bradley, , , ,Bradley,Ingrid,ingrid.bradley@mail.xyz, 
ingrid.demmer,User,Ingrid Demmer, Sekundar,Ingrid Demmer, , , ,Demmer,Ingrid,ingrid.demmer@mail.xyz, 
isabel.bad,User,Isabel Bad, Sekundar,Isabel Bad, , , ,Bad,Isabel,keineMailAddy, 
isabel.barrett,User,Isabel Barrett, Sekundar,Isabel Barrett, , , ,Barrett,Isabel,i.barrett@mail.xyz, 
isabella.barilovic,User,Isabella Barilovic, Sekundar,Isabella Barilovic, , , ,Barilovic,Isabella,i.barilovic@mail.xyz, 
ivonne.axmann,User,Ivonne Axmann, Sekundar,Ivonne Axmann, , , ,Axmann,Ivonne,ivonne.axmann@mail.xyz, 
jacob.cain,User,Jacob Cain, Lehrer Sekundar,Jacob Cain, , , ,Cain,Jacob,jacob.cain@mail.xyz, 
jakob.arndt,User,Jakob Arndt, Sekundar,Jakob Arndt, , , ,Arndt,Jakob,j.arndt@mail.xyz, 
jamie.andres,User,Jamie Andres, Sekundar,Jamie Andres, , , ,Andres,Jamie,keineMailAddy, 
jan.bosse,User,Jan Bosse, Sekundar,Jan Bosse, , , ,Bosse,Jan,jan.bosse@mail.xyz, 
janin.braun,User,Janin Braun, Sekundar,Janin Braun, , , ,Braun,Janin,keineMailAddy, 
janina.bittner,User,Janina Bittner, Sekundar,Janina Bittner, , , ,Bittner,Janina,janina.bittner@mail.xyz, 
janina.brunner,User,Janina Brunner, Lehrer Sekundar,Janina Brunner, , , ,Brunner,Janina,j.brunner@mail.xyz, 
janine.baumgarten,User,Janine Baumgarten, Sekundar,Janine Baumgarten, , , ,Baumgarten,Janine,janine.baumgarten@mail.xyz, 
janine.brinkmann,User,Janine Brinkmann, Sekundar,Janine Brinkmann, , , ,Brinkmann,Janine,j.brinkmann@mail.xyz, 
janine.daniel,User,Janine Daniel, Lehrer Gym,Janine Daniel, , , ,Daniel,Janine,j.daniel@mail.xyz, 
janis.barrett,User,Janis Barrett, Sekundar,Janis Barrett, , , ,Barrett,Janis,j.barrett@mail.xyz, 
janis.brady,User,Janis Brady, Sekundar,Janis Brady, , , ,Brady,Janis,janis.brady@mail.xyz, 
jannick.boehm,User,Jannick Boehm, Sekundar,Jannick Boehm, , , ,Boehm,Jannick,j.boehm@mail.xyz, 
jannik.buescher,User,Jannik Buescher, Lehrer Sekundar,Jannik Buescher, , , ,Buescher,Jannik,jannik.buescher@mail.xyz, 
jasmin.denecke,User,Jasmin Denecke, Sekundar,Jasmin Denecke, , , ,Denecke,Jasmin,jasmin.denecke@mail.xyz, 
jason.bosse,User,Jason Bosse, Sekundar,Jason Bosse, , , ,Bosse,Jason,jason.bosse@mail.xyz, 
jasper.cortez,User,Jasper Cortez, Lehrer Gym,Jasper Cortez, , , ,Cortez,Jasper,jasper.cortez@mail.xyz, 
jean.breitenbach,User,Jean Breitenbach, Sekundar,Jean Breitenbach, , , ,Breitenbach,Jean,j.breitenbach@mail.xyz, 
jean.demir,User,Jean Demir, Sekundar,Jean Demir, , , ,Demir,Jean,j.demir@mail.xyz, 
jean.denk,User,Jean Denk, Sekundar,Jean Denk, , , ,Denk,Jean,jean.denk@mail.xyz, 
jennifer.cross,User,Jennifer Cross, Lehrer Gym,Jennifer Cross, , , ,Cross,Jennifer,jennifer.cross@mail.xyz, 
jennifer.denk,User,Jennifer Denk, Sekundar,Jennifer Denk, , , ,Denk,Jennifer,jennifer.denk@mail.xyz, 
jenny.breidenbach,User,Jenny Breidenbach, Sekundar,Jenny Breidenbach, , , ,Breidenbach,Jenny,j.breidenbach@mail.xyz, 
jens.abel,User,Jens Abel, Sekundar,Jens Abel, , , ,Abel,Jens,j.abel@mail.xyz, 
jens.budde,User,Jens Budde, Lehrer Sekundar,Jens Budde, , , ,Budde,Jens,j.budde@mail.xyz, 
jeremie.denecke,User,Jeremie Denecke, Sekundar,Jeremie Denecke, , , ,Denecke,Jeremie,j.denecke@mail.xyz, 
jessica.baier,User,Jessica Baier, Sekundar,Jessica Baier, , , ,Baier,Jessica,jessica.baier@mail.xyz, 
jessika.brinkmann,User,Jessika Brinkmann, Sekundar,Jessika Brinkmann, , , ,Brinkmann,Jessika,jessika.brinkmann@mail.xyz, 
jessika.dennis,User,Jessika Dennis, Sekundar,Jessika Dennis, , , ,Dennis,Jessika,keineMailAddy, 
jette.dennis,User,Jette Dennis, Sekundar,Jette Dennis, , , ,Dennis,Jette,keineMailAddy, 
jil.bergmann,User,Jil Bergmann, Sekundar,Jil Bergmann, , , ,Bergmann,Jil,keineMailAddy, 
jil.birnenmost,User,Jil Birnenmost, Sekundar,Jil Birnenmost, , , ,Birnenmost,Jil,jil.birnenmost@mail.xyz, 
jill.buechner,User,Jill Buechner, Lehrer Sekundar,Jill Buechner, , , ,Buechner,Jill,jill.buechner@mail.xyz, 
joel.bryan,User,Joel Bryan, Lehrer Sekundar,Joel Bryan, , , ,Bryan,Joel,joel.bryan@mail.xyz, 
